receiver,tackler
B.Ellington (SF),X.Rhodes (MIN)
M.Wallace (MIN),K.Acker (SF)
K.Rudolph (MIN),A.Bethea (SF)
B.Ellington (SF),A.Barr (MIN)
R.Ellison (MIN),A.Brooks (SF)
A.Peterson (MIN),A.Lynch (SF)
J.McKinnon (MIN),A.Lynch (SF)
A.Boldin (SF),X.Rhodes (MIN)
G.Celek (SF),A.Sendejo (MIN)
A.Boldin (SF),T.Newman (MIN)
V.Davis (SF),A.Sendejo (MIN)
M.Wallace (MIN),D.Johnson (SF)
J.Wright (MIN),J.Tartt (SF)
A.Peterson (MIN),K.Acker (SF)
G.Celek (SF),A.Barr (MIN)
C.Hyde (SF),G.Hodges (MIN)
V.McDonald (SF),A.Barr (MIN)
M.Wallace (MIN),E.Reid (SF)
C.Johnson (MIN),E.Reid (SF)
M.Wallace (MIN),N.Bowman (SF)
V.Davis (SF),R.Blanton (MIN)
K.Rudolph (MIN),M.Wilhoite (SF)
J.McKinnon (MIN),A.Bethea (SF)
C.Johnson (MIN),T.Brock (SF)
K.Rudolph (MIN),D.Johnson (SF)
C.Patterson (MIN),T.Brock (SF)
M.Asiata (MIN),N.Bowman (SF)
E.Sanders (DEN),M.Peters (KC)
J.Maclin (KC),D.Ware (DEN)
J.Charles (KC),D.Trevathan (DEN)
J.Charles (KC),D.Bruton (DEN)
E.Sanders (DEN),J.Fleming (KC)
A.Caldwell (DEN),M.Peters (KC)
D.Thomas (DEN),D.Johnson (KC)
J.Maclin (KC),A.Talib (DEN)
D.Thomas (DEN),P.Gaines (KC)
V.Green (DEN),M.Peters (KC)
D.Thomas (DEN),R.Parker (KC)
J.Norwood (DEN),M.Peters (KC)
J.Norwood (DEN),P.Gaines (KC)
T.Kelce (KC),D.Trevathan (DEN)
J.Maclin (KC),C.Harris (DEN)
J.Charles (KC),C.Harris (DEN)
O.Daniels (DEN),E.Berry (KC)
E.Sanders (DEN),R.Parker (KC)
D.Thomas (KC),D.Stewart (DEN)
D.Thomas (DEN),E.Berry (KC)
O.Daniels (DEN),R.Parker (KC)
J.Charles (KC),T.Ward (DEN)
D.Thomas (KC),C.Harris (DEN)
D.Thomas (KC),B.Marshall (DEN)
T.Kelce (KC),D.Bruton (DEN)
O.Daniels (DEN),J.Mauga (KC)
D.Thomas (DEN),J.Fleming (KC)
C.Anderson (DEN),D.Johnson (KC)
D.Thomas (DEN),M.Peters (KC)
C.Shorts (HOU),J.Norman (CAR)
C.Shorts (HOU),K.Coleman (CAR)
J.Grimes (HOU),T.Davis (CAR)
J.Stewart (CAR),J.Tuggle (HOU)
C.Brown (CAR),Q.Demps (HOU)
C.Worthy (HOU),K.Coleman (CAR)
J.Grimes (HOU),S.Thompson (CAR)
J.Grimes (HOU),B.Benwikere (CAR)
G.Olsen (CAR),K.Jackson (HOU)
M.Tolbert (CAR),B.McKinney (HOU)
D.Hopkins (HOU),J.Norman (CAR)
C.Fiedorowicz (HOU),R.Harper (CAR)
J.Cotchery (CAR),J.Clowney (HOU)
T.Ginn (CAR),J.Joseph (HOU)
C.Brown (CAR),K.Johnson (HOU)
D.Funchess (CAR),J.Joseph (HOU)
G.Olsen (CAR),K.Johnson (HOU)
J.Grimes (HOU),R.Harper (CAR)
A.Blue (HOU),T.Davis (CAR)
C.Polk (HOU),C.Tillman (CAR)
C.Shorts (HOU),B.Benwikere (CAR)
D.Hopkins (HOU),R.Harper (CAR)
D.Hopkins (HOU),K.Coleman (CAR)
T.Ginn (CAR),K.Jackson (HOU)
M.Tolbert (CAR),Q.Demps (HOU)
C.Worthy (HOU),A.Klein (CAR)
C.Shorts (HOU),T.Davis (CAR)
N.Washington (HOU),R.Harper (CAR)
N.Washington (HOU),C.Tillman (CAR)
D.Hopkins (HOU),A.Klein (CAR)
N.Washington (HOU),A.Klein (CAR)
R.Nix (PIT),A.Lynch (SF)
A.Brown (PIT),E.Reid (SF)
M.Wheaton (PIT),T.Brock (SF)
D.Heyward (PIT),T.Brock (SF)
T.Smith (SF),A.Blake (PIT)
D.Heyward (PIT),A.Bethea (SF)
D.Heyward (PIT),D.Johnson (SF)
A.Brown (PIT),K.Acker (SF)
A.Boldin (SF),R.Shazier (PIT)
G.Celek (SF),R.Shazier (PIT)
T.Smith (SF),W.Gay (PIT)
C.Hyde (SF),C.Heyward (PIT)
G.Celek (SF),B.Dupree (PIT)
T.Smith (SF),B.Boykin (PIT)
A.Brown (PIT),M.Wilhoite (SF)
H.Miller (PIT),M.Wilhoite (SF)
Q.Patton (SF),R.Cockrell (PIT)
C.Hyde (SF),R.Shazier (PIT)
V.Davis (SF),A.Blake (PIT)
A.Boldin (SF),M.Mitchell (PIT)
C.Hyde (SF),L.Timmons (PIT)
B.Miller (SF),S.Spence (PIT)
V.Davis (SF),M.Mitchell (PIT)
M.Davis (SF),J.Harrison (PIT)
A.Brown (PIT),Q.Dial (SF)
M.Wheaton (PIT),M.Wilhoite (SF)
A.Brown (PIT),T.Brock (SF)
A.Boldin (SF),W.Gay (PIT)
D.White (SF),A.Blake (PIT)
V.Davis (SF),W.Gay (PIT)
M.Davis (SF),R.Cockrell (PIT)
Q.Patton (SF),A.Blake (PIT)
B.Cooks (NO),C.Conte (TB)
B.Coleman (NO),S.Moore (TB)
C.Spiller (NO),J.Banks (TB)
A.Seferian (TB),K.Phillips (NO)
B.Cooks (NO),L.David (TB)
C.Sims (TB),R.Humber (NO)
C.Sims (TB),K.Wilson (NO)
M.Ingram (NO),L.David (TB)
W.Snead (NO),J.Banks (TB)
B.Cooks (NO),T.Jennings (TB)
J.Hill (NO),T.Jennings (TB)
B.Rainey (TB),B.Browner (NO)
M.Colston (NO),T.Jennings (TB)
M.Colston (NO),A.Verner (TB)
C.Sims (TB),S.Anthony (NO)
V.Jackson (TB),K.Vaccaro (NO)
L.Murphy (TB),D.Swann (NO)
V.Jackson (TB),K.Phillips (NO)
W.Snead (NO),K.Alexander (TB)
A.Seferian (TB),K.Vaccaro (NO)
D.Martin (TB),D.Hawthorne (NO)
L.Murphy (TB),K.Vaccaro (NO)
B.Watson (NO),K.Alexander (TB)
W.Snead (NO),S.Moore (TB)
L.Murphy (TB),K.Phillips (NO)
B.Coleman (NO),L.David (TB)
M.Colston (NO),D.Swearinger (TB)
K.Robinson (NO),W.Gholston (TB)
D.Martin (TB),K.Vaccaro (NO)
M.Ingram (NO),C.Conte (TB)
M.Ingram (NO),H.Melton (TB)
B.Cooks (NO),B.McDougald (TB)
M.Colston (NO),K.Alexander (TB)
M.Wallace (MIN),D.Slay (DET)
C.Johnson (DET),C.Munnerlyn (MIN)
E.Ebron (DET),C.Greenway (MIN)
J.Bell (DET),G.Hodges (MIN)
E.Ebron (DET),A.Sendejo (MIN)
T.Riddick (DET),E.Kendricks (MIN)
L.Moore (DET),C.Munnerlyn (MIN)
A.Abdullah (DET),E.Kendricks (MIN)
